posel,ilosc_kadencji
Ludwik Maźnicki,2
Ferdynand Łukaszek,2
Wincenty Kraśko,2
Władysław Matys,2
Szymon Dziedzic,2
Władysław Najdek,2
Anna Tarniewicz,2
Hieronim Blaszyński,2
Jarosław Iwaszkiewicz,2
Jerzy Wojtecki,2
Kazimiera Plezia,2
Jan Olszewski,2
Stanisław Radkiewicz,2
Wacław Władysław Mońka,2
Stanisław Czerniej,2
Józef Kot,2
Karol Małcużyński,2
Ryszard Hill,2
Kazimierz Raszkowski,2
Władysław Trybus,2
Edwarda Orłowska,2
Piotr Brzóska,2
Mieczysław Tarnawa,2
Jan Niewiadomski,2
Bolesław Piasecki,2
Krystyna Czechowska,2
Wit Hanke,2
Franciszek Śliwa,2
Barbara Natorska,2
Stanisław Chlebda,2
Antoni Bigus,2
Marian Tuka,2
Kazimierz Secomski,2
Alojzy Bryl,2
Barbara Gruszkiewicz,2
Adolf Jakubowicz,2
Grzegorz Cwyl,2
Bronisław Jurkiewicz,2
Józef Grygiel,2
Józef Frąszczak,2
Tadeusz Rek,2
Eugeniusz Grochal,2
Łukasz Kumor,2
Janina Kocemba,2
Stanisław Ciosek,2
Maria Milczarek,2
Bohdan Czeszko,2
Ignacy Skowroński,2
Zofia Mroczka,2
Kazimierz Cupisz,2
Sylwester Leczykiewicz,2
Ryszard Pospieszyński,2
Ewelina Szyszko,2
Józef Różański,2
Alfons Klafkowski,2
Zbigniew Gertych,2
Jan Rustecki,2
Antoni Mrowiec,2
Józef Żymankowski,2
Rudolf Szura,2
Edward Jaremek,2
Stanisław Maciejewski,2
Feliks Barabasz,2
Zenona Kuranda,2
Zdzisław Tomal,2
Zbigniew Zieliński,2
Władysław Kowalski,2
Olga Szwałkiewicz,2
Jan Kowal,2
Wacław Gumiński,2
Jan Kwakszyc,2
Kazimierz Król,2
Józef Ciuba,2
Leon Budzynowski,2
Józef Knapik,2
Jan Malinowski,2
Czesław Wilczyński,2
Stanisław Jodłowski,2
Zdzisław Wydrzyński,2
Wincenty Aleksiejczuk,2
Henryk Skowron,2
Mieczysław Medeński,2
Cecylia Moderacka,2
Stanisław Trojanowski,2
Antoni Andreasik,2
Piotr Skórzewski,2
Jan Wilczek,2
Tadeusz Skwirzyński,2
Jadwiga Cichocka,2
Marian Minor,2
Zofia Paryżak,2
Władysław Szymczak,2
Józef Ciupiński,2
Gustaw Śliwa,2
Aleksander Juszkiewicz,2
Witold Zakrzewski,2
Adam Łopatka,2
Zofia Cybulska,2
Jan Szydlak,2
Stefan Misiaszek,2
Jerzy Werner,2
Zbigniew Kledecki,2
Henryk Pohl,2
Daniela Teresa Liberadzka,2
Władysław Piłatowski,2
Witold Dąbrowski,2
Kazimierz Orzechowski,2
Stefan Brzeziński,2
Janina Banasik,2
Władysław Tomala,2
Stanisław Składowski,2
Władysław Ozga,2
Michał Grendys,2
Aleksy Nowak,2
Mieczysław Ziętek,2
Halina Kiliś,2
Józef Wlekły,2
Wiktor Zyzik,2
Daniela Kwiatkowska,2
Jan Hebda,2
Zofia Stypułkowska,2
Jerzy Smyczyński,2
Wiktor Wróbel,2
Wiktoria Różańska,2
Henryka Frąc,2
Maria Małgorzata Wrzyszcz,2
Stanisław Ulicki,2
Janina Waśniowska,2
Mikołaj Dachów,2
Zenon Chudy,2
Helena Jagiełowicz-Gawle,2
Zbigniew Białecki,2
Józef Kołodziejski,2
Jerzy Gralewicz,2
Henryk Hałas,2
Stefan Serwicki,2
Bronisław Antczak,2
Jan Frey-Bielecki,2
Stanisław Miłostan,2
Hilary Minc,2
Jadwiga Łokkaj,2
Zdzisław Luciński,2
Małgorzata Nowicka,2
Zdzisław Żandarowski,2
Jan Rabanowski,2
Jerzy Piotrowski,2
Edward Głodowski,2
Czesław Burski,2
Stanisław Pawlak,2
Lucyna Adamowicz,2
Stanisław Matusiak,2
Jan Kędziora,2
Bolesław Doktór,2
Kazimierz Prusiński,2
Ignacy Wall,2
Marian Mięsowicz,2
Bolesław Piasecki,2
Władysław Dworakowski,2
Antoni Mitura,2
Stanisław Gaertig,2
Janina Doliwa,2
Zbigniew Strzemiecki,2
Marian Lityński,2
Wacław Barcikowski,2
Bolesław Wicenty,2
Janusz Prokopiak,2
Józef Trojok,2
Emil Jerzyk,2
Remigiusz Bierzanek,2
Stefan Cichosz,2
Tadeusz Maj,2
Bogdan Łysak,2
Tadeusz Nowakowski,2
Andrzej Gawłowski,2
Józef Kaszewski,2
Alfred Kusiak,2
Adam Fuszara,2
Jan Mendalka,2
Tadeusz Hołuj,2
Jerzy Lutomski,2
Bronisław Szajna,2
Władysław Kuszyk,2
Franciszek Tekliński,2
Jerzy Bafia,2
Dyzma Gałaj,2
Tadeusz Łodykowski,2
Jan Jagodziński,2
Stanisław Kukuryka,2
Jan Darzyński,2
Michał Kolanowski,2
Mieczysław Blachura,2
Władysław Wilk,2
Henryk Wiśniewski,2
Mieczysław Moczar,2
Antoni Alster,2
Stanisław Popławski,2
Maria Jaszczukowa,2
Barbara Tumułka,2
Zenon Wróblewski,2
Stefan Batorski,2
Franciszek Gesing,2
Tadeusz Dietrich,2
Mieczysław Furmanek,2
Jan Aleksander Król,2
Jadwiga Giżycka-Koprowska,2
Jadwiga Biernat,2
Wiesław Sadowski,2
Kazimierz Jezierski,2
Jerzy Kubalewski,2
Franciszek Mazur,2
Zdzisław Legomski,2
Stanisława Świderska,2
Henryk Świątkowski,2
Bronisław Kawałek,2
Jerzy Jóźwiak,2
Mieczysław Hebda,2
Czesław Słowek,2
Władysław Stachowiak,2
Alojzy Czarnecki,2
Mieczysław Gajewski,2
Lidia Wołowiec,2
Wilhelm Szewczyk,2
Karol Gruber,2
Zuzanna Połaska,2
Roman Karolak,2
Jan Malec,2
Anna Kiełcz,2
Bronisław Luty,2
Andrzej Zydek,2
Marian Konieczny,2
Mieczysław Derejski,2
Henryk Rutkowski,2
Włodzimierz Reczek,2
