filename,kadencja,posel,dane Data i miejce urodzenia,dane Wykształcenie,dane Ukończona szkoła,dane Zawód,dane Lista,dane Okręg wyborczy,dane Liczba głosów,dane Ślubowanie,dane Staż parlamentarny,klub,kadencja_chronologia
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b977cf11d96a03b5c125793e00398eb3.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Janusz Piechociński,"15-03-1960, Studzianki Pancerne",wyższe,"Szkoła Główna Handlowa, Wydział Handlu Wewnętrznego - mgr ekonomii",ekonomista,Polskie Stronnictwo Ludowe,20 Warszawa,13259,05-11-2007,"poseł na Sejm RP I, II i IV kadencji",Klub Poselski Polskiego Stronnictwa Ludowego,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b9d6a7780dfbfe65c125793e003990f2.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Wiesław Andrzej Szczepański,"01-06-1960, Chrośnica",wyższe,"Akademia Ekonomiczna w Poznaniu, Wydział Organizacji i Zarządzania - mgr ekonomii",ekonomista,Lewica i Demokraci,36 Kalisz,10579,05-11-2007,"poseł na Sejm RP II, III i V kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b9f69c69b5249b08c125793e003989b5.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Artur Górski,"30-01-1970, Warszawa",wyższe,"Akademia Teologii Katolickiej, Wydział Politologii i Nauk Społecznych - mgr politologiiAkademia Teologii Katolickiej - dr",politolog,Prawo i Sprawiedliwość,19 Warszawa,3070,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/baa31c550709afbec125793e00398d03.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Antoni Macierewicz,"03-08-1948, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Historyczny - mgr historii","historyk, urzędnik państwowy",Prawo i Sprawiedliwość,10 Piotrków Trybunalski,40055,05-11-2007,"poseł na Sejm RP I, III i IV kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/baabce927ce64f39c125793e00398b58.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Józef Piotr Klim,"19-10-1960, Mońki",wyższe,"Uniwersytet Warszawski - Filia w Białymstoku, Wydział Historii - mgr historii",nauczyciel,Platforma Obywatelska,24 Białystok,9938,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bb48f378eec2c2e6c125793e00398e1a.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Mirosława Nykiel,"23-09-1953, Wańkowa",wyższe,"Uniwersytet Śląski, Wydział Pedagogiczno-Artystyczny - mgr pedagogiki",przedsiębiorca,Platforma Obywatelska,27 Bielsko Biała,33180,05-11-2007,senator VI kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bb73b34f12071af0c125793e00399237.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jadwiga Wiśniewska,"02-07-1963, Myszków",wyższe,"Wyższa Szkoła Pedagogiczna w Częstochowie, Wydział Humanistyczny - mgr pedagogiki",nauczyciel,Prawo i Sprawiedliwość,28 Częstochowa,20814,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bbab44ed1ce0a007c125793e00398e99.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Andrzej Pałys,"02-01-1957, Solec-Zdrój",wyższe,"Akademia Rolnicza w Krakowie, Wydział Inżynierii Środowiska - mgr inż. środowiskaAkademia Rolnicza w Poznaniu, Wydział Ogrodniczy - inż ogrodnictwa",inżynier ogrodnik,Polskie Stronnictwo Ludowe,33 Kielce,7654,05-11-2007,poseł na Sejm RP V kadencji,Klub Poselski Polskiego Stronnictwa Ludowego,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bbd5b7a511fb409ac125793e00398b36.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jan Kaźmierczak,"04-04-1950, Katowice",wyższe,"Politechnika Śląska, Wydział Mechaniczny Energetyczny - mgr inż mechanikPolitechnika Śląska, Mechanika i Budowa Maszyn - dr hab.",nauczyciel akademicki,Platforma Obywatelska,29 Gliwice,7641,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/bd04a3c1ecf659c5c125793e003992b8.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jadwiga Zakrzewska,"04-11-1950, Płońsk",wyższe,"Wyższa Szkoła Nauk Społecznych, Wydział Samorządu Terytorialnego - licencjatAkademia Obrony Narodowej, Wydział Nauk Strategicznych - mgr nauk strategicznych",pracownik samorządowy,Platforma Obywatelska,20 Warszawa,7593,05-11-2007,poseł na Sejm RP III i V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
