posel,ilosc_kadencji,dane Lista
Przemysław Czarnecki,3,Prawo i Sprawiedliwość
Jan Krzysztof Ardanowski,3,Prawo i Sprawiedliwość
Andrzej Szarawarski,3,Sojusz Lewicy Demokratycznej
Tadeusz Biliński,3,Sojusz Lewicy Demokratycznej
Ryszard Ulicki,3,Sojusz Lewicy Demokratycznej
Władysław Stępień,3,Sojusz Lewicy Demokratycznej
Teresa Wargocka,3,Prawo i Sprawiedliwość
Piotr Król,3,Prawo i Sprawiedliwość
Andrzej Jaworski,3,Prawo i Sprawiedliwość
Jolanta Hibner,3,Platforma Obywatelska
Wojciech Zubowski,3,Prawo i Sprawiedliwość
Beata Bublewicz,3,Platforma Obywatelska
Tomasz Kulesza,3,Platforma Obywatelska
Wojciech Szczęsny Zarzycki,3,Polskie Stronnictwo Ludowe
Maciej Manicki,3,Sojusz Lewicy Demokratycznej
Józef Oleksy,3,Sojusz Lewicy Demokratycznej
Józef Gruszka,3,Polskie Stronnictwo Ludowe
Arkadiusz Litwiński,3,Platforma Obywatelska
Krzysztof Głuchowski,3,Prawo i Sprawiedliwość
Zbigniew Pacelt,3,Platforma Obywatelska
Barbara Marianowska,3,Prawo i Sprawiedliwość
Tadeusz Syryjczyk,2,Unia Demokratyczna
Lech Szymańczyk,2,Sojusz Lewicy Demokratycznej
Andrzej Wielowieyski,2,Unia Demokratyczna
Stanisław Pawlak,2,Sojusz Lewicy Demokratycznej
Edmund Borawski,2,Polskie Stronnictwo Ludowe
Robert Strąk,2,Liga Polskich Rodzin
Janusz Wojciechowski,2,Polskie Stronnictwo Ludowe
Jan Lityński,2,Unia Demokratyczna
Ryszard Bartosik,2,Prawo i Sprawiedliwość
Marzena Dorota Wróbel,2,Prawo i Sprawiedliwość
Andrzej Kania,2,Platforma Obywatelska
Filip Kaczyński,2,Prawo i Sprawiedliwość
Karol Karski,2,Prawo i Sprawiedliwość
Jacek Kasprzyk,2,Sojusz Lewicy Demokratycznej
Elżbieta Pierzchała,2,Platforma Obywatelska
Lidia Burzyńska,2,Prawo i Sprawiedliwość
Małgorzata Niemczyk,2,Platforma Obywatelska
Mieczysław Marcin Łuczak,2,Polskie Stronnictwo Ludowe
Ewa Kołodziej,2,Platforma Obywatelska
Szymon Szynkowski vel Sęk,2,Prawo i Sprawiedliwość
Grzegorz Schreiber,2,Prawo i Sprawiedliwość
Piotr Łukasz Babiarz,2,Prawo i Sprawiedliwość
Jacek Kurzępa,2,Prawo i Sprawiedliwość
Wiesław Suchowiejko,2,Platforma Obywatelska
Jerzy Małecki,2,Prawo i Sprawiedliwość
Jan Rokita,2,Platforma Obywatelska
Tadeusz Matyjek,2,Sojusz Lewicy Demokratycznej
Stanisław Chmielewski,2,Platforma Obywatelska
Elżbieta Gelert,2,Platforma Obywatelska
Jerzy Ziętek,2,Platforma Obywatelska
Stanisław Kopeć,2,Sojusz Lewicy Demokratycznej
Jacek Tomczak,2,Prawo i Sprawiedliwość
Małgorzata Stryjska,2,Prawo i Sprawiedliwość
Piotr Van der Coghen,2,Platforma Obywatelska
Mieczysław Jedoń,2,Sojusz Lewicy Demokratycznej
Joanna Senyszyn,2,Sojusz Lewicy Demokratycznej
Joanna Kluzik-Rostkowska,2,Platforma Obywatelska
Roman Jacek Kosecki,2,Platforma Obywatelska
Piotr Gliński,2,Prawo i Sprawiedliwość
Krzysztof Kubów,2,Prawo i Sprawiedliwość
Jan Król,2,Unia Demokratyczna
Danuta Ciborowska,2,Sojusz Lewicy Demokratycznej
Tomasz Szymański,2,Platforma Obywatelska
Kazimierz Szczygielski,2,Unia Demokratyczna
Waldemar Olejniczak,2,Prawo i Sprawiedliwość
Rafał Weber,2,Prawo i Sprawiedliwość
Krystyna Kłosin,2,Platforma Obywatelska
Piotr Ikonowicz,2,Sojusz Lewicy Demokratycznej
Wojciech Mojzesowicz,2,Prawo i Sprawiedliwość
Wojciech Murdzek,2,Prawo i Sprawiedliwość
Krzysztof Grzegorek,2,Platforma Obywatelska
Bartłomiej Wróblewski,2,Prawo i Sprawiedliwość
Ryszard Zawadzki,2,Platforma Obywatelska
Anita Czerwińska,2,Prawo i Sprawiedliwość
Wiesław Krajewski,2,Prawo i Sprawiedliwość
Beata Rusinowska,2,Platforma Obywatelska
Ewa Sowińska,2,Liga Polskich Rodzin
Radosław Sikorski,2,Platforma Obywatelska
Monika Ryniak,2,Prawo i Sprawiedliwość
Jarosław Duda,2,Platforma Obywatelska
Jarosław Pięta,2,Platforma Obywatelska
Zbigniew Gorzelańczyk,2,Sojusz Lewicy Demokratycznej
Aleksander Marek Szczygło,2,Prawo i Sprawiedliwość
Teresa Jasztal,2,Sojusz Lewicy Demokratycznej
Marek Dyduch,2,Sojusz Lewicy Demokratycznej
Gabriela Masłowska,2,Liga Polskich Rodzin
Szczepan Skomra,2,Sojusz Lewicy Demokratycznej
Ewa Janik,2,Sojusz Lewicy Demokratycznej
Bronisław Dutka,2,Polskie Stronnictwo Ludowe
Aleksander Mrówczyński,2,Prawo i Sprawiedliwość
Krzysztof Król,2,Konfederacja Polski Niepodległej
Anna Zalewska,2,Sojusz Lewicy Demokratycznej
Grzegorz Kurczuk,2,Sojusz Lewicy Demokratycznej
Konstanty Oświęcimski,2,Platforma Obywatelska
Jan Szymański,2,Sojusz Lewicy Demokratycznej
Helena Góralska,2,Unia Demokratyczna
Leszek Moczulski,2,Konfederacja Polski Niepodległej
Leszek Galemba,2,Prawo i Sprawiedliwość
Agnieszka Kozłowska-Rajewicz,2,Platforma Obywatelska
Gwidon Wójcik,2,Unia Demokratyczna
Artur Ostrowski,2,Sojusz Lewicy Demokratycznej
Joanna Staręga-Piasek,2,Unia Demokratyczna
Jacek Czerniak,2,Sojusz Lewicy Demokratycznej
Andrzej Buła,2,Platforma Obywatelska
Andrzej Kosztowniak,2,Prawo i Sprawiedliwość
Jarosław Gowin,2,Prawo i Sprawiedliwość
Paweł Bejda,2,Polskie Stronnictwo Ludowe
Maria Walczyńska-Rechmal,2,Sojusz Lewicy Demokratycznej
Teresa Hałas,2,Prawo i Sprawiedliwość
Tadeusz Arkit,2,Platforma Obywatelska
Tomasz Smolarz,2,Platforma Obywatelska
Andrzej Słomski,2,Sojusz Lewicy Demokratycznej
Zdzisław Podkański,2,Polskie Stronnictwo Ludowe
Ryszard Smolarek,2,Polskie Stronnictwo Ludowe
Marek Wojtkowski,2,Platforma Obywatelska
Tadeusz Dziuba,2,Prawo i Sprawiedliwość
Jagna Marczułajtis-Walczak,2,Platforma Obywatelska
Stanisława Prządka,2,Sojusz Lewicy Demokratycznej
Bożena Sławiak,2,Platforma Obywatelska
Antoni Mężydło,2,Prawo i Sprawiedliwość
Dorota Niedziela,2,Platforma Obywatelska
Juliusz Braun,2,Unia Demokratyczna
